Voter ID;Jan Sedláček (stud PrF MU);David Vyhlídal (stud PrF MU);Šárka Vyskočilová (stud PrF MU);Kryštof Zika (stud PrF MU);Kateřina Audyová (stud PrF MU);Matyáš Ličeník (stud PrF MU);Barbora Bulánková (stud PrF MU);Lucie Králová (stud PrF MU);Tomáš Neugebauer (stud PrF MU);Martin Plášek (stud PrF MU);Karolína Šandorová (stud PrF MU);Jan Zubík (stud PrF MU);Roman Karchut (stud PrF MU);Nevenka Petříčková (stud PrF MU);Martin Zigmund (stud PrF MU, ESF MU);Tereza Vodičková (stud PrF MU);Robin Kašpar (stud PrF MU);Boris Šabík (stud PrF MU);Adam Jelínek (stud PrF MU);Adam Jasiok (stud PrF MU);Jan Dzuba (stud PrF MU);Jakub Nováček (stud PrF MU);Jan Schraml (stud PrF MU);Dominik Kalouda (stud PrF MU);Albert Jilg (stud PrF MU);Vítek Souchop (stud PrF MU);Kristýna Bohlová (stud PrF MU);Tomáš Pospíšil (stud PrF MU)
i2q0d7hrvk;;X;;;;;;;;;X;;;;;;;;X;;;;;;;;;
i30h7v8v73;;;;;;;;;;;;;;X;X;;;;;X;X;;X;;;;;
i8gdm6jzu4;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
i9cy7ufb87;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
jcllb62x81;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
jc3jca7cn3;;X;;;;;;;;;;;;;;X;X;;;;;;;;;;;
jd17xu7tt8;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
jfjlq5t4h2;;;;;;;;X;;;;;;;;X;X;;;;;;;;;;;X
jfqn4w8yhb;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
jhcyr8ogut;;;;;;;;;;X;X;;;;;;X;;X;;X;X;;;;;;
jleen0bq5o;;;X;X;;;;;X;;;;;X;;;;;;;;;;X;;;X;
jnb756veag;;;;;;;X;;;;X;;;X;;X;;;;;;;X;;;;;
jn0zvj10au;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;
joo50egabm;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
jph824q72n;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;
jqoh3osfy8;;;;;;;;;;;;;;;;;;X;;;;;;X;;X;;
jqxcsdmnr5;X;;;;;;;;;;;X;X;X;X;;;;;;;;;;;;;
jt0kbpm3gl;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
jxbv97kqll;X;;X;;;X;;;;;;;;;;;X;;;;;;X;;X;;;X
jzywl0ks1v;X;;;;;X;;;;;;;;;;;;;;;;;;X;;;;X
j0vrrqv4bc;X;X;;X;;X;;;X;X;;;;X;;;;;;;X;;;;;;;
j0ybhedgmb;;;;;;;X;;;;X;;;X;;X;;X;;;;;;;;;;
j2ndirrgd1;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
j4a0u5dg35;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
j6v9gdnfit;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
j7hyl4i7sd;;;X;;X;X;X;;;;X;;;X;;X;;;;;;;;;;;X;
j7no3j6ix2;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
j8dvmnpbqq;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
j8d7vy793c;;;;;;;;;;;;;;X;;;;;;;;;;;X;X;;
j9gq71syfq;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
kbqoh23mj3;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
kbtdhaduyf;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
kdeizfhh8x;;;X;;;;;;;;X;X;;;;X;;;;;;;;;;;X;
kfvkc7r9nt;;X;;;;;;X;;;X;;;;;X;;;;;;;;;;;;
khhtg856be;;;;;;;;X;;;X;;;X;;X;;;;;;;;;;X;;
ki3gme6c7o;;;;;;;X;;;X;;;;;;;X;;;;;X;;;;X;;
kkov3gtath;;X;;X;;;;X;;X;;;;;;X;X;;;;;X;X;;;;;
kk8pw74fm2;;;;;;;;;X;X;;;;;;;X;;;;;;;;;;;
kl4l4nszxy;X;;;;;;;;;;;;;;X;;;;;;;X;;;;;;
kohk0ygnwm;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
ko1m5ehxr1;X;;X;;;;;;X;X;X;;;X;;;;;;;X;;;;;X;;
kp67soge51;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
krdz8efzhz;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;
krwc24svgp;X;;;;;;;;X;X;;;;;X;;X;X;;;X;;X;;;;;
ktvat7hes3;;;;X;;;;;;;;;;;;;;;;;;;;;;;X;
k0o0l3i7qq;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
laks8368sv;;;;;;;;;;X;;;;;;;;;X;;;;;;;;;
ldsej2z7jb;;;;;;;;;;;;;X;;;X;;X;;;;;;;;;;
let3g3dxki;;;;;;;;;;;X;;;;;;X;;;;;X;X;;;;;
lfcncjk171;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;
ljbaqukjov;X;;X;X;;;;X;X;;;X;;X;;;;;;;;;X;;;;;
lk5lte8cwc;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X
lmb344t8oo;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
lorzp3v545;;;;X;;;;;;X;X;;;X;;;;;;;;X;;;;X;X;
ls62ms5k79;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
lu190c0q35;;;;;;;;X;;X;;;;X;;;;;;;;;;X;;;X;
lu4krccpsm;;;;;;X;;;;;;;;;X;;;;;X;X;;;;X;;;X
lva3rewrkp;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
l60bl4cg4v;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
l84tey4dr7;X;;;X;;;;;X;;;;;;;;X;;;;;;X;;;;;
l9qzecbhdb;;;;;;;;;;;X;;;X;;X;;;;;X;;;;;;;
mb90d6yh5w;;;;;;;;;;;X;;;;;;;;;X;;;;X;;X;;
mjdckuvmzg;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
mkahjz7rd8;;;;X;;;;;X;;;X;;;;;;;X;X;X;;;;;;;
mlvxfpdofy;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
mmty9xz120;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
